[run number],withNodes,sensor-angle,rotation-angle,suck-pheromone-from-border,[step],calcoverlap
188,false,20,20,true,1000,17.53330142
189,false,20,20,true,1000,19.62618206
190,false,20,20,true,1000,17.54688573
191,false,20,20,false,1000,19.49983988
192,false,20,20,false,1000,19.47682409
193,false,20,20,false,1000,19.26524285
194,false,20,20,false,1000,20.03119213
195,false,20,20,false,1000,19.38978375
196,false,20,20,false,1000,18.63287822
197,false,20,20,false,1000,19.37588764
198,false,20,20,false,1000,18.46944285
199,false,20,20,false,1000,18.3237322
200,false,20,20,false,1000,19.78996074
201,false,20,45,true,1000,14.11908679
202,false,20,45,true,1000,16.60699471
203,false,20,45,true,1000,17.60698387
204,false,20,45,true,1000,16.70098104
205,false,20,45,true,1000,14.81628278
206,false,20,45,true,1000,17.76321086
207,false,20,45,true,1000,17.22250874
208,false,20,45,true,1000,15.29705721
209,false,20,45,true,1000,15.48209948
210,false,20,45,true,1000,15.4277948
211,false,20,45,false,1000,20.37592948
212,false,20,45,false,1000,19.24859111
213,false,20,45,false,1000,22.3489556
214,false,20,45,false,1000,20.08899606
215,false,20,45,false,1000,19.46699041
216,false,20,45,false,1000,21.90524836
217,false,20,45,false,1000,18.50601505
218,false,20,45,false,1000,17.82293779
219,false,20,45,false,1000,20.40412114
220,false,20,45,false,1000,19.86062843
221,false,20,60,true,1000,9.964714623
222,false,20,60,true,1000,10.97200393
223,false,20,60,true,1000,10.2184773
224,false,20,60,true,1000,11.78607341
225,false,20,60,true,1000,9.578787727
226,false,20,60,true,1000,10.76743376
227,false,20,60,true,1000,12.75601901
228,false,20,60,true,1000,11.4337873
229,false,20,60,true,1000,11.03346017
230,false,20,60,true,1000,8.90061156
231,false,20,60,false,1000,20.00977893
232,false,20,60,false,1000,18.85487423
233,false,20,60,false,1000,18.66209432
234,false,20,60,false,1000,18.92093989
235,false,20,60,false,1000,21.47052771
236,false,20,60,false,1000,17.42405485
237,false,20,60,false,1000,19.58407362
238,false,20,60,false,1000,18.11649128
239,false,20,60,false,1000,19.74439903
240,false,20,60,false,1000,18.95642241
241,false,45,20,true,1000,18.01088084
242,false,45,20,true,1000,18.52795183
243,false,45,20,true,1000,17.63915205
244,false,45,20,true,1000,19.30519929
245,false,45,20,true,1000,18.37260292
246,false,45,20,true,1000,18.29505036
247,false,45,20,true,1000,18.99755187
248,false,45,20,true,1000,18.50784766
249,false,45,20,true,1000,18.56447513
250,false,45,20,true,1000,18.65322067
251,false,45,20,false,1000,19.47702416
252,false,45,20,false,1000,19.43173172
253,false,45,20,false,1000,18.17811453
254,false,45,20,false,1000,19.32802879
255,false,45,20,false,1000,20.43892357
256,false,45,20,false,1000,18.50150824
257,false,45,20,false,1000,19.74477592
258,false,45,20,false,1000,19.88580982
259,false,45,20,false,1000,20.86546134
260,false,45,20,false,1000,19.4455309
261,false,45,45,true,1000,18.73832544
262,false,45,45,true,1000,18.61196381
263,false,45,45,true,1000,20.31474613
264,false,45,45,true,1000,20.11750349
265,false,45,45,true,1000,18.71899124
266,false,45,45,true,1000,20.72231194
267,false,45,45,true,1000,18.70510029
268,false,45,45,true,1000,20.54047417
269,false,45,45,true,1000,18.99846886
270,false,45,45,true,1000,18.30353851
271,false,45,45,false,1000,18.62164253
272,false,45,45,false,1000,19.85564023
273,false,45,45,false,1000,18.12060536
274,false,45,45,false,1000,18.83357811
275,false,45,45,false,1000,18.48634597
276,false,45,45,false,1000,18.24621219
277,false,45,45,false,1000,20.46690484
278,false,45,45,false,1000,20.58530087
279,false,45,45,false,1000,18.47462113
280,false,45,45,false,1000,18.06496892
281,false,45,60,true,1000,17.00815051
282,false,45,60,true,1000,16.63912364
283,false,45,60,true,1000,18.41273084
284,false,45,60,true,1000,20.94421704
285,false,45,60,true,1000,17.55992906
286,false,45,60,true,1000,14.01116682
287,false,45,60,true,1000,17.2376519
288,false,45,60,true,1000,18.27451817
289,false,45,60,true,1000,18.12153493
290,false,45,60,true,1000,18.81183227
291,false,45,60,false,1000,19.65113411
292,false,45,60,false,1000,18.20053322
293,false,45,60,false,1000,17.67211412
294,false,45,60,false,1000,18.05697078
295,false,45,60,false,1000,18.00219228
296,false,45,60,false,1000,19.43024397
297,false,45,60,false,1000,18.29456104
298,false,45,60,false,1000,18.943804
299,false,45,60,false,1000,21.50750762
300,false,45,60,false,1000,21.11637919
301,false,60,20,true,1000,17.9115976
302,false,60,20,true,1000,20.1572497
303,false,60,20,true,1000,19.70768065
304,false,60,20,true,1000,19.55554157
305,false,60,20,true,1000,18.50156402
306,false,60,20,true,1000,19.60562439
307,false,60,20,true,1000,18.87000585
308,false,60,20,true,1000,18.552418
309,false,60,20,true,1000,20.03034538
310,false,60,20,true,1000,17.07768065
311,false,60,20,false,1000,20.35211549
312,false,60,20,false,1000,18.53435013
313,false,60,20,false,1000,19.29633409
314,false,60,20,false,1000,19.55514902
315,false,60,20,false,1000,18.69822076
316,false,60,20,false,1000,18.23888828
317,false,60,20,false,1000,21.27039806
318,false,60,20,false,1000,18.97815568
319,false,60,20,false,1000,19.60871077
320,false,60,20,false,1000,20.18325511
321,false,60,45,true,1000,20.71140356
322,false,60,45,true,1000,20.81386323
323,false,60,45,true,1000,18.49280952
324,false,60,45,true,1000,16.49035692
325,false,60,45,true,1000,21.06741327
326,false,60,45,true,1000,16.88881338
327,false,60,45,true,1000,18.12947849
328,false,60,45,true,1000,18.53965772
329,false,60,45,true,1000,19.39643067
330,false,60,45,true,1000,22.00460082
331,false,60,45,false,1000,18.45992855
332,false,60,45,false,1000,20.02736816
333,false,60,45,false,1000,18.76292832
334,false,60,45,false,1000,18.05303731
335,false,60,45,false,1000,19.41181333
336,false,60,45,false,1000,19.88590055
337,false,60,45,false,1000,18.91456208
338,false,60,45,false,1000,17.81469827
339,false,60,45,false,1000,18.97387459
340,false,60,45,false,1000,18.32816859
341,false,60,60,true,1000,18.38610768
342,false,60,60,true,1000,16.82776295
343,false,60,60,true,1000,19.83771991
344,false,60,60,true,1000,18.67818805
345,false,60,60,true,1000,18.96178905
346,false,60,60,true,1000,20.01374856
347,false,60,60,true,1000,17.61324977
348,false,60,60,true,1000,16.01908851
349,false,60,60,true,1000,18.81709905
350,false,60,60,true,1000,18.91447392
351,false,60,60,false,1000,20.55568396
352,false,60,60,false,1000,17.01632685
353,false,60,60,false,1000,17.85487991
354,false,60,60,false,1000,19.27748902
355,false,60,60,false,1000,19.88862279
356,false,60,60,false,1000,18.67442072
357,false,60,60,false,1000,19.42010967
358,false,60,60,false,1000,20.43111637
359,false,60,60,false,1000,19.35050739
360,false,60,60,false,1000,17.69597132
